CaseID,ActivityID,CompleteTimestamp
17001,479982,2016-06-10 17:01:59
17001,225828,2016-06-10 17:01:59
19001,474178,2016-05-20 11:57:06
19001,915472,2016-05-20 11:57:25
19002,375088,2016-05-20 11:57:23
19002,135242,2016-05-20 11:57:23
19002,355928,2016-05-20 11:57:23
19002,077929,2016-05-20 11:57:23
19002,941972,2016-05-20 11:57:23
19002,308411,2016-05-20 11:57:23
19003,474178,2016-05-20 14:16:34
19003,915472,2016-05-20 16:03:40
19004,474178,2016-05-20 14:17:13
19004,915472,2016-05-20 16:03:30
19005,474178,2016-05-20 15:19:30
19005,479982,2016-05-20 19:23:03
19005,225828,2016-05-20 19:23:03
19005,915472,2016-05-20 19:23:03
19005,411057,2016-05-20 19:23:03
19006,135242,2016-05-20 16:03:29
19006,077929,2016-05-20 16:03:29
19006,355928,2016-05-20 16:03:29
19006,941972,2016-05-20 16:03:29
19006,375088,2016-05-20 16:03:29
19006,308411,2016-05-20 16:03:29
19007,308411,2016-05-20 16:03:36
19007,135242,2016-05-20 16:03:36
19007,375088,2016-05-20 16:03:36
19007,077929,2016-05-20 16:03:36
19007,355928,2016-05-20 16:03:36
19007,941972,2016-05-20 16:03:36
20001,474178,2016-05-23 12:37:16
20001,479982,2016-05-23 12:39:11
20001,915472,2016-05-23 12:39:11
20001,225828,2016-05-23 12:39:12
20001,411057,2016-05-23 12:39:12
20002,474178,2016-05-23 12:39:04
20002,225828,2016-05-23 12:41:21
20002,915472,2016-05-23 12:41:21
20002,411057,2016-05-23 12:41:21
20002,479982,2016-05-23 12:41:21
20003,474178,2016-05-23 12:39:50
20003,411057,2016-05-23 12:41:35
20003,225828,2016-05-23 12:41:35
20003,479982,2016-05-23 12:41:35
20003,915472,2016-05-23 12:41:35
20004,941972,2016-05-23 12:40:01
20004,355928,2016-05-23 12:40:01
20004,135242,2016-05-23 12:40:01
20004,077929,2016-05-23 12:40:02
20004,308411,2016-05-23 12:40:02
20004,375088,2016-05-23 12:40:02
20005,375088,2016-05-23 12:40:11
20005,941972,2016-05-23 12:40:11
20005,308411,2016-05-23 12:40:11
20005,077929,2016-05-23 12:40:11
20005,135242,2016-05-23 12:40:11
20005,355928,2016-05-23 12:40:11
20006,474178,2016-05-23 12:40:25
20006,915472,2016-05-23 12:41:49
